Name,Year,Domestic,Foreign
Crime Spree, (2003),"$2,451,607","$2,451,607"
On the Waterfront, (1954),$631,$631
Creep, (2004),"$7,480,424","$7,480,424"
Crimson Rivers 2: Angels of the Apocalypse, (2004),"$152,148","$40,000,000"
The Night House, (2020),"$7,100,581","$8,337,122"
Kind Hearts and Coronets, (1949),"$35,948","$109,635"
Cross of Iron, (1977),$201,$201
Confess to Your Crimes, (2023),"$1,897,393","$1,897,393"
Croupier, (1998),"$6,201,143","$919,425"
Brown vs Brown, (2023),"$9,060","$9,060"
Shongram, (2014),"$2,193","$2,193"
Shazam! Fury of the Gods, (2023),"$57,638,006","$76,500,000"
Cuckoo, (2024),"$6,217,733","$462,663"
Crush, (2013),"$105,473","$105,473"
Scream of the Banshee, (2011),$677,$677
March of the Penguins, (2005),"$77,437,223","$49,955,470"
Cul-de-sac, (1966),"$1,500","$1,500"
Curiosity Kills the Cat, (2006),"$7,911","$7,911"
The Honeymoon, (2022),"$102,585","$102,585"
Dad's Army, (2016),"$12,738,785","$12,738,785"
Dead Dad, (2019),"$562,573","$562,573"
Daleks' Invasion Earth 2150 A.D., (1966),$115,$115
Alemania, (2023),"$3,135","$3,135"
Roger & Me, (1989),"$6,706,368","$1,000,000"
The Neon Demon, (2016),"$1,333,124","$1,740,576"
Dances with Wolves, (1990),"$184,208,848","$240,000,000"
Pirates of the Caribbean: The Curse of the Black Pearl, (2003),"$305,413,918","$348,850,097"
Dance to Death, (2017),"$182,957","$182,957"
Dancer in the Dark, (2000),"$4,184,036","$35,877,117"
Make It Happen, (2008),"$10,153,961","$10,153,961"
Venom: The Last Dance, (2024),"$127,600,000","$308,500,000"
Mao's Last Dancer, (2009),"$4,817,770","$19,096,961"
Rachel Getting Married, (2008),"$12,796,841","$4,141,127"
Dangerous Parking, (2007),"$7,337","$7,337"
Dans la vie, (2007),"$723,423","$723,423"
Barry & Joan, (2022),$36,$36
Dark Blue World, (2001),"$258,771","$2,122,412"
Blood-C: The Last Dark, (2012),"$846,261","$846,261"
Dark Nature, (2022),"$33,003","$33,003"
Dark City, (1998),"$14,378,331","$12,821,985"
Dark Night, (2016),$363,$363
Sword of Xanten, (2004),"$169,774","$169,774"
The World Champion, (2021),"$6,241,731","$6,241,731"
Dark River, (2017),"$7,714","$231,468"
Darkland, (2017),"$20,827","$20,827"
Strange Darling, (2023),"$3,083,595","$679,921"
Dark Waters, (2019),"$11,136,084","$11,971,933"
Lilly the Witch: The Dragon and the Magic Book, (2009),"$16,276,155","$16,276,155"
Daughters of the Dust, (1991),"$1,683,422","$6,301"
The Personal History of David Copperfield, (2019),"$1,876,298","$12,522,972"
Out of Darkness, (2022),"$1,951,547","$35,734"
Daylight Robbery, (2008),"$2,629","$2,629"
De-Lovely, (2004),"$13,456,633","$5,155,318"
Dead Fish, (2005),"$22,679","$22,679"
"Good Luck, Dad", (2018),"$263,814","$263,814"
Dead Man's Cards, (2006),"$5,870","$5,870"
Dead Man's Shoes, (2004),"$6,408","$235,280"
Dead Man Running, (2009),"$735,875","$735,875"
Deadfall, (2012),"$66,351","$1,879,903"
Dead of Night, (1945),"$35,275","$35,275"
Pirates of the Caribbean: Dead Men Tell No Tales, (2017),"$172,558,876","$623,363,422"
Antrum: The Deadliest Film Ever Made, (2018),$26,$26
Dear Frankie, (2004),"$18,025","$1,638,804"
Dean Spanley, (2008),"$1,455,824","$1,455,824"
Dear Enemy, (2011),$491,$491
Dear Wendy, (2005),"$23,106","$584,123"
How to murder a dead husband, (2017),"$1,187,935","$1,187,935"
Death Defying Acts, (2007),"$5,665","$8,390,580"
Drums Along the Mohawk, (1939),"$10,360","$10,360"
Born in Gaza, (2014),"$7,859","$7,859"
A Woman Is a Woman, (1961),"$100,665",$826
Death Proof, (2007),"$31,126,421","$31,126,421"
S21: The Khmer Rouge Killing Machine, (2003),"$22,606",$944
Death of a President, (2006),"$519,086","$350,266"
Red Eye, (2004),"$693,832","$693,832"
Death on the Nile, (2022),"$45,630,104","$91,677,131"
Deathwatch, (2002),"$2,270,658","$2,270,658"
Death to Smoochy, (2002),"$8,364,691","$18,247"
Norman, (2016),"$3,814,868","$2,402,699"
December Boys, (2007),"$50,715","$1,124,864"
Men of Honor, (2000),"$48,818,921","$33,524,574"
Deep End, (1970),$454,$454
Saw, (2004),"$56,000,369","$48,003,849"
Demons Never Die, (2011),"$82,225","$82,225"
On the Job, (2013),"$164,620","$308,270"
The Circle, (2000),"$440,554","$315,481"
Man in the Chair, (2007),"$12,210","$12,210"
Spirits in the Forest, (2019),"$704,744","$1,827,041"
Desert Flower, (2009),"$44,348","$14,638,595"
Zoolander, (2001),"$45,172,250","$15,608,731"
Women on the Verge of a Nervous Breakdown, (1988),"$7,251,740","$51,249"
Design for Living, (1933),$157,$157
Punch-Drunk Love, (2002),"$17,844,216","$6,831,498"
Devil's Gate, (2017),"$52,966","$52,966"
The Devil Came on Horseback, (2007),"$132,782","$1,713"
Dial M for Murder, (1954),"$24,845","$18,070"
Devotion, (2022),"$20,511,938","$1,256,195"
Diamonds Are Forever, (1971),"$43,819,547","$10,386"
Kills On Wheels, (2016),"$15,898","$27,375"
The Diary of Diana B, (2019),"$68,301","$68,301"
Diana, (2013),"$335,359","$21,430,912"
War on Everyone, (2016),"$698,036","$698,036"
"Murder Me, Monster", (2018),"$11,759","$11,759"
Disconnected, (2018),"$1,185,054","$1,185,054"
The Pact II, (2014),"$358,981","$358,981"
"Distant Voices, Still Lives", (1988),"$693,563","$78,182"
DOA: Dead or Alive, (2006),"$480,813","$7,082,512"
Do Not Disturb, (1965),"$315,695","$315,695"
Fire at Sea, (2016),"$120,933","$1,057,444"
Damsels in Distress, (2011),"$1,008,455","$305,903"
In the House, (2012),"$389,757","$15,801,014"
Down to You, (2000),"$20,069,008","$4,350,906"
Doghouse, (2009),"$179,836","$179,836"
Dog Soldiers, (2002),"$3,537,283","$3,537,283"
Dogville, (2003),"$1,535,286","$15,155,331"
Dog Eat Dog, (2016),"$184,404","$184,404"
Blue, (2018),"$210,796","$210,796"
Dog, (2022),"$61,778,069","$22,772,213"
Drive-Away Dolls, (2024),"$5,028,215","$2,907,148"
Don Giovanni, (1979),"$9,519","$9,519"
Flora and Son, (2023),"$129,959","$129,959"
Migawari Mission, (2024),"$2,113,320","$2,113,320"
Don't Move, (2004),"$337,265","$11,733,742"
Don't Look Now, (1973),"$114,156","$114,156"
Donkey Skin, (1970),"$59,337","$59,337"
Donkey Punch, (2008),"$19,367","$675,055"
Dorian Gray, (2009),"$22,873,653","$22,873,653"
Double Vision, (2002),"$1,501,021","$1,501,021"
Doraemon the Movie: Nobita's Dinosaur, (2006),"$34,740,192","$34,740,192"
Master Z: The Ip Man Legacy, (2018),"$209,454","$21,623,195"
The Hunchback of Notre Dame, (1996),"$100,138,851","$225,200,000"
Pirates Down the Street, (2020),"$1,900,298","$1,900,298"
Downhill, (2020),"$8,287,061","$612,134"
Dr. Jekyll and Mr. Hyde, (1931),"$16,615","$16,615"
Down the River, (2018),"$58,291","$58,291"
Dr. No, (1962),"$16,067,035","$50,783"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, (1964),"$9,440,272","$180,022"
Eyes Without a Face, (1960),"$58,565","$1,689"
Dr. Who and the Daleks, (1965),"$114,062","$114,062"
Bram Stoker's Dracula, (1992),"$82,522,790","$133,339,902"
Prince of Darkness, (1987),"$14,182,492",$87
DragonHeart, (1996),"$51,367,375","$63,900,000"
Dread, (2009),"$97,438","$97,438"
The Last of England, (1987),$630,$630
An Officer and a Spy, (2019),"$18,925,109","$18,925,109"
Dreaming Lhasa, (2005),"$21,504","$6,038"
Dragon Hunters, (2008),"$12,389,088","$12,389,088"
Dreaming Walls: Inside the Chelsea Hotel, (2022),"$22,534","$23,385"
Dreams, (1990),"$1,963,207","$1,006,954"
Driving Lessons, (2006),"$239,962","$1,057,591"
Drillbit Taylor, (2008),"$32,862,104","$17,082,221"
Drop Dead Fred, (1991),"$13,878,334",$77
Drowning by Numbers, (1988),"$424,773","$52,266"
Dreams of a Life, (2011),"$8,405","$283,493"
The Final Cut, (2004),"$551,281","$2,671,158"
Una noche, (2012),"$100,887","$11,016"
Dungeons & Dragons, (2000),"$15,391,970","$18,586,724"
Out of the Furnace, (2013),"$11,330,849","$4,330,705"
East/West, (1999),"$2,321,029","$3,710,492"
East of Eden, (1955),"$26,281","$26,281"
Easy Virtue, (2008),"$2,656,784","$15,807,009"
Ecstasy, (2011),"$97,563","$97,563"
Eden Lake, (2008),"$7,321","$3,977,348"
Edward II, (1991),"$699,264","$6,867"
Jurassic World, (2015),"$653,406,625","$1,018,130,819"
My Son, (2021),"$962,689","$962,689"
Edmond, (2005),"$131,719","$111,805"
Eleven Men Out, (2005),"$1,000","$277,388"
Elfie Hopkins: Cannibal Hunter, (2012),"$10,726","$10,726"
El garabato, (2008),"$131,981","$131,981"
Ocean's Eight, (2018),"$140,295,726","$157,500,000"
Elizabeth, (1998),"$30,082,699","$52,067,943"
East of the Mountain, (2015),"$6,227","$6,227"
Ella Enchanted, (2004),"$22,918,387","$4,470,380"
Wuthering Heights, (2011),"$100,915","$1,641,300"
Emily, (2022),"$1,097,067","$3,207,521"
Emma., (2020),"$10,055,355","$15,877,089"
Yunus Emre: Askin Sesi, (2014),"$384,789","$384,789"
Empties, (2007),"$9,864,149","$9,864,149"
Finalement, (2024),"$234,879","$234,879"
Sammohanam, (2018),"$9,945","$9,945"
Rise, (2022),"$11,252,331","$11,252,331"
Endurance, (2024),"$199,183","$199,183"
Avengers: Endgame, (2019),"$858,373,000","$1,941,066,100"
Enduring Love, (2004),"$358,362","$1,517,287"
Tupaia's Endeavour, (2020),"$3,814","$3,814"
Enemies of the People, (2009),"$73,171","$7,483"
Made in England: The Films of Powell and Pressburger, (2024),"$7,083","$63,960"
Little England, (2013),"$12,077","$3,078,029"
Rabbit Without Ears, (2007),"$81,744,033","$81,744,033"
Horses: The Story of Equus, (2002),"$24,716","$24,716"
Entrapment, (1999),"$87,704,396","$124,700,000"
Enter the Void, (2009),"$336,467","$470,050"
Tim and Eric's Billion Dollar Movie, (2012),"$201,436","$22,144"
Today We Live, (1933),$267,$267
The Imitation Game, (2014),"$91,125,683","$142,430,025"
Escape, (2024),"$586,916","$586,916"
Live by Night, (2016),"$10,378,555","$12,400,000"
Never Let Me Go, (2010),"$2,434,652","$7,483,441"
A Perfect Getaway, (2009),"$15,515,460","$7,440,084"
Escape from New York, (1981),"$25,244,626","$30,339"
Eulogy, (2004),"$75,076","$14,705"
Evelyn, (2002),"$1,487,645","$2,699,271"
The Gold of Naples, (1954),"$5,046","$5,046"
Evening, (2007),"$12,492,481","$7,524,272"
Eureka, (2023),"$8,596","$4,286"
Garden State, (2004),"$26,782,316","$9,043,000"
Event Horizon, (1997),"$26,673,242",$587
Evil Under the Sun, (1982),"$6,110,000",$804
Everybody Loves Somebody, (2017),"$1,915,789","$4,566,009"
Everything Is Illuminated, (2005),"$1,712,337","$1,889,637"
Sen Benim Herseyimsin, (2016),"$1,085,674","$1,085,674"
"Everything, Everything", (2017),"$34,121,140","$27,600,000"
Exam, (2009),"$394,717","$394,717"
Excalibur, (1981),"$34,967,437","$3,699"
"My Sailor, My Love", (2022),"$89,237","$208,192"
Exit Through the Gift Shop, (2010),"$3,291,250","$2,117,928"
Cherry Magic! Thirty Years of Virginity Can Make You A Wizard?!: The Movie, (2022),"$2,787,742","$2,787,742"
Eyes Wide Shut, (1999),"$55,691,208","$106,588,851"
Eye of the Devil, (1966),"$4,966","$4,966"
Eye of the Beholder, (1999),"$16,500,786","$1,088,919"
The Polar Express, (2004),"$189,528,738","$128,697,779"
Bill & Ted Face the Music, (2020),"$3,439,660","$2,834,367"
Face/Off, (1997),"$112,276,146","$133,400,000"
Don't Breathe, (2016),"$89,217,875","$68,543,127"
Facing Windows, (2003),"$543,354","$14,991,958"
Exodus: Gods and Kings, (2014),"$65,014,513","$203,161,118"
Facing the Giants, (2006),"$10,178,331","$129,656"
Fahrenheit 451, (1966),$509,$72
Faintheart, (2008),"$11,753","$11,753"
Fade to Black, (2006),"$35,210","$35,210"
Gone for a Dance, (2007),"$64,919","$64,919"
Falling for Figaro, (2020),"$35,910","$1,038,056"
Far North, (2007),"$92,767","$92,767"
Fargo, (1996),"$24,611,975","$36,000,000"
Fast Food Nation, (2006),"$1,005,539","$1,203,783"
Fateless, (2005),"$196,857","$2,315,152"
The Fast and the Furious, (2001),"$144,745,925","$62,771,584"
I'll Come Too, (2018),"$266,866","$266,866"
Father Christmas Is Back, (2021),"$5,751","$5,751"
"Like Father, Like Son", (2013),"$334,616","$36,835,547"
Twilight, (2008),"$193,962,473","$214,467,942"
Godzilla: King of the Monsters, (2019),"$110,500,138","$276,800,000"
Faust, (2011),"$58,132","$6,424"
Dear Father, (2022),"$26,143","$26,143"
Fear the Night, (2023),"$29,811","$29,811"
Feardotcom, (2002),"$13,258,249","$5,643,766"
Fellini: I'm a Born Liar, (2002),"$106,686","$12,531"
Feelings, (2003),"$8,385,395","$8,385,395"
Song to Song, (2017),"$443,684","$1,369,769"
Festival Express, (2003),"$1,174,079","$107,675"
Midsommar, (2019),"$27,426,361","$20,585,830"
The Voyage That Shook the World, (2009),"$8,708","$8,708"
Fifty Dead Men Walking, (2008),"$812,872","$812,872"
Cabin Fever, (2002),"$21,158,188","$9,395,206"
The Lady, (2011),"$355,391","$7,476,751"
Five Fingers, (2006),"$459,754","$459,754"
Killer Klowns from Outer Space, (1988),$352,$352
Filth and Wisdom, (2008),"$22,406","$332,222"
Vann over ild, (2018),"$8,069","$8,069"
An Unfinished Life, (2005),"$8,586,392","$10,031,892"
No Escapes, (2020),"$12,916,151","$12,916,151"
If the Streets Were on Fire, (2022),"$2,795","$2,795"
The Fate of the Furious, (2017),"$226,008,385","$1,009,996,733"
Fish Tank, (2009),"$374,675","$2,029,625"
Fishtales, (2007),"$9,216","$9,216"
Five Children and It, (2004),"$5,072,125","$5,072,125"
Kikoriki: Legend of the Golden Dragon, (2016),"$4,267,406","$4,267,406"
IU Concert: The Golden Hour, (2023),"$1,521,423","$1,521,423"
Five Minutes of Heaven, (2009),"$15,676","$348,679"
A Flat for Three, (2012),"$11,443,707","$11,443,707"
In Flames, (2023),"$1,990","$1,990"
Flashbacks of a Fool, (2008),"$1,664","$1,115,605"
Flash Gordon, (1980),"$27,107,960","$68,861"
Flawless, (2007),"$1,200,234","$5,619,353"
Flight from Hell, (2014),"$5,410,000","$5,410,000"
The Flash, (2023),"$108,133,313","$163,300,000"
Dance Flick, (2009),"$25,662,155","$5,776,985"
Seachd: The Inaccessible Pinnacle, (2007),"$19,978","$19,978"
Flubber, (1997),"$92,977,226","$85,000,000"
Summer of the Flying Saucer, (2008),"$6,047","$6,047"
Follow Me, (2020),"$167,962","$4,209,432"
How to Be a Good Wife, (2020),"$6,033,430","$6,033,430"
Following, (1998),"$48,482","$77,570"
In the Fog, (2012),"$11,894","$182,700"
A Star Is Born, (2018),"$215,333,122","$221,100,000"
On the Other Side of the Bridge, (2002),"$146,387","$146,387"
The Lost Boys, (1987),"$32,315,444","$189,965"
Sarabha, (2023),"$3,518","$3,518"
For Love of the Game, (1999),"$35,188,640","$10,924,000"
For Your Eyes Only, (1981),"$54,812,802","$24,748"
For Those in Peril, (2013),"$3,886","$3,886"
You Won't Be Alone, (2022),"$264,055","$71,410"
Forever and a Day, (2011),"$1,049,218","$1,049,218"
But Forever in My Mind, (1999),"$24,151","$24,151"
Birds of Paradise, (2010),"$525,312","$525,312"
Boy 23 - The Forgotten Boys of Brazil, (2016),"$12,869","$12,869"
Fortuna Lake, (2019),"$39,266","$39,266"
Four Last Songs, (2007),"$211,137","$211,137"
Four Lions, (2010),"$304,616","$5,844,740"
4 Days in May, (2011),"$111,712","$111,712"
Four Weddings and a Funeral, (1994),"$52,700,832","$193,000,000"
Foxtrot, (2017),"$618,883","$737,276"
Fragile, (2005),"$6,680,926","$6,680,926"
Frankenstein, (1994),"$22,006,296","$90,000,000"
Franklyn, (2008),"$1,279,576","$1,279,576"
Freaks Out, (2021),"$3,279,079","$3,279,079"
Freebird, (2008),"$13,326","$13,326"
It's a Wonderful Life, (1946),"$1,483,643","$8,256,665"
Free Jimmy, (2006),"$2,277,607","$2,277,607"
Free Radicals, (2003),"$1,443","$78,928"
Free Fall, (2013),"$599,721","$599,721"
French Film, (2008),"$112,307","$112,307"
French Kiss, (1995),"$38,896,854","$63,086,000"
Freelance, (2023),"$5,314,136","$4,882,568"
Freeze Frame, (2004),"$1,100","$38,563"
Frequently Asked Questions About Time Travel, (2009),"$23,820","$23,820"
Frenzy, (1972),"$4,121","$4,121"
Freud, (1962),"$6,388","$6,388"
Friday the 13th, (1980),"$39,754,601","$157,359"
From Russia with Love, (1963),"$24,796,765","$12,962"
Hellraiser, (1987),"$14,564,027","$11,499"
Full Circle, (2023),"$29,629",$138
The Nightmare Before Christmas, (1993),"$93,745,329","$14,041,640"
Full Metal Jacket, (1987),"$46,357,676","$3,826,762"
Funeral in Berlin, (1966),$183,$183
From Time to Time, (2009),"$159,640","$159,640"
A Funny Man, (2011),"$5,772,688","$5,772,688"
Funny Money, (2006),"$2,844","$28,446"
The Walk, (2015),"$10,137,502","$51,044,440"
Funny Games, (2007),"$1,294,919","$6,653,365"
The Wild Blue Yonder, (2005),"$6,970","$6,970"
Gabriel, (2007),"$1,395,610","$1,395,610"
The Gateway, (2021),"$3,028","$3,028"
The Ugly Truth, (2009),"$88,915,214","$116,684,179"
Garbage Warrior, (2007),"$16,255","$16,255"
GamerZ, (2005),"$8,460","$8,460"
Gaudi Afternoon, (2001),"$5,858","$59,257"
Ticket to Paradise, (2022),"$68,275,985","$100,495,000"
The Green Knight, (2021),"$17,173,321","$1,714,632"
Blur: Live at Wembley Stadium, (2024),"$113,268","$113,268"
Shakira in Concert: El Dorado World Tour, (2019),"$271,586","$23,091"
George and the Dragon, (2004),"$47,636","$47,636"
Georgia Rule, (2007),"$19,103,072","$5,897,095"
A Summer in Genoa, (2008),"$2,147,830","$2,147,830"
Lost in London, (2017),"$82,002","$82,002"
Get Real, (1998),"$1,152,979","$23,618"
Genghis Khan, (2018),"$5,957,524","$5,957,524"
I'm Your Man, (2021),"$275,155","$815,506"
Get Out, (2017),"$176,196,665","$79,548,492"
Ghost Train, (2006),"$1,861,906","$1,861,906"
Ghost of Mae Nak, (2005),"$160,387","$160,387"
Hilde, (2009),"$3,638,950","$3,638,950"
Ghost in the Shell, (2017),"$40,563,557","$129,283,388"
Thir13en Ghosts, (2001),"$41,867,960","$26,600,000"
Look Away, (2018),"$1,119,537","$1,119,537"
Boy Meets Girl, (2014),"$20,441","$6,412"
The Girl on the Train, (2016),"$75,395,035","$97,790,824"
Girls Will Be Girls, (2024),"$16,278","$16,278"
Give Up Tomorrow, (2011),$280,$280
The Five of Us, (2004),"$1,852,272","$5,747"
The High Note, (2020),"$2,217,874","$2,217,874"
Glorious 39, (2009),"$182,253","$182,253"
Now Is Good, (2012),"$2,273,746","$2,273,746"
Glue, (2006),"$3,439","$3,439"
Glastonbury, (2006),"$8,419","$193,622"
"Go, Go Second Time Virgin", (1969),$659,$659
The Pod Generation, (2023),"$31,569","$26,740"
Goal! The Dream Begins, (2005),"$4,283,255","$23,327,618"
Dog on Trial, (2024),"$938,270","$938,270"
A Good Man, (2009),"$309,437","$309,437"
Gnomeo & Juliet, (2011),"$99,967,670","$94,000,000"
Goal II: Living the Dream, (2007),"$225,067","$7,639,838"
GoldenEye, (1995),"$106,429,941","$245,764,093"
Goldfinger, (1964),"$51,081,062","$135,332"
Gold, (2016),"$7,227,038","$7,653,901"
Goldfish Memory, (2003),"$43,382","$43,382"
Goodbye Bafana, (2007),"$6,317,170","$6,317,170"
Good Boys, (2019),"$83,140,306","$28,033,292"
Hope Gap, (2019),"$104,732","$1,149,614"
Good Time, (2017),"$2,026,499","$1,248,437"
"Good Night, and Good Luck.", (2005),"$31,558,003","$23,083,188"
Earth to Echo, (2014),"$38,934,842","$6,746,220"
Goodbye Charlie Bright, (2001),"$40,571","$40,571"
Gone Baby Gone, (2007),"$20,292,962","$14,319,481"
Trap, (2024),"$42,777,281","$39,900,000"
Borgo, (2023),"$1,945,400","$1,945,400"
Mr. Holland's Opus, (1995),"$82,569,971","$23,700,000"
Goya's Ghosts, (2006),"$1,000,626","$8,447,456"
Gosford Park, (2001),"$41,308,615","$46,445,429"
The Gospel of John, (2003),"$4,069,090","$9,651"
Gracie, (2007),"$2,956,339","$870,229"
Grand Prix, (2022),"$728,999","$728,999"
Grand Theft Parsons, (2003),"$6,876","$6,876"
Grabbers, (2012),"$427,335","$427,335"
The Grandad, (2014),"$181,052","$181,052"
"My Granpa, the Bankrobber", (2011),"$1,385,970","$1,385,970"
Greenfingers, (2000),"$1,443,067","$517,987"
Great Expectations, (1998),"$26,420,672","$29,073,394"
Green Street Hooligans, (2005),"$346,830","$3,467,887"
Greyfriars Bobby: The True Story of a Dog, (1961),"$721,203","$721,203"
Guest of Honour, (2019),"$1,780","$1,780"
Grow Your Own, (2007),"$498,278","$498,278"
Grown Ups, (2010),"$162,001,186","$109,456,115"
Culpa, (2022),"$1,411","$1,411"
Gunshot, (2018),"$74,688","$74,688"
Gypo, (2005),"$22,517","$22,517"
Guy X, (2005),"$42,022","$42,022"
Free Guy, (2021),"$121,626,598","$209,900,000"
Hachi: A Dog's Tale, (2009),"$46,749,646","$46,749,646"
Half Light, (2006),"$4,598,371","$4,598,371"
8½, (1963),"$98,760","$97,615"
25 Years of Innocence, (2020),"$4,027,477","$4,027,477"
The Power of the Dog, (2021),"$271,009","$271,009"
Alice in Wonderland, (2010),"$334,191,110","$691,277,106"
Mandy, (2018),"$1,233,694","$531,277"
Hand in Hand, (2012),"$2,227,676","$2,227,676"
In the Hands of the Gods, (2007),"$65,921","$65,921"
After Ever Happy, (2022),"$1,072,750","$18,165,323"
Happy Ever Afters, (2009),"$218,281","$218,281"
Happy Gilmore, (1996),"$38,824,099","$2,381,000"
Happy-Go-Lucky, (2008),"$3,512,016","$15,184,586"
Men of Hard Skin, (2019),"$1,143","$1,143"
Hara-Kiri: Death of a Samurai, (2011),"$75,688","$5,359,670"
Harry Brown, (2009),"$1,818,681","$8,552,770"
Harry Potter and the Deathly Hallows: Part 2, (2011),"$381,447,587","$960,913,155"
Harry Potter and the Half-Blood Prince, (2009),"$302,334,374","$638,625,561"
Harry Potter and the Deathly Hallows: Part 1, (2010),"$296,374,621","$664,442,278"
Demonic, (2015),"$4,476,578","$4,476,578"
Picnic at Hanging Rock, (1975),"$49,582","$32,779"
Nighthawks, (1981),"$14,905,359","$5,000,000"
Harry Potter and the Sorcerer's Stone, (2001),"$318,886,962","$707,330,461"
She Stoops to Conquer, (2012),"$84,448","$84,448"
Safe Haven, (2013),"$71,349,120","$26,245,020"
Head in the Clouds, (2004),"$398,278","$3,266,580"
Head Over Heels, (2001),"$10,424,470","$2,702,552"
A-1 Headline, (2004),"$314,553","$314,553"
Heart of a Champion, (2023),"$28,458","$28,458"
Heat and Dust, (1983),"$1,761,291","$11,598"
Heartless, (2009),"$3,697","$16,738"
The World is Big and Salvation Lurks Around the Corner, (2008),"$291,275","$291,275"
Heartstrings, (2016),"$804,986","$804,986"
Heavens Above, (2021),"$103,356","$103,356"
Heavy Load, (2008),"$8,032","$8,032"
Heavenly Creatures, (1994),"$3,049,135",$815
Heidi, (2015),"$38,755,161","$38,755,161"
Helen, (2009),"$34,820","$34,820"
Kingdom of Heaven, (2005),"$47,398,413","$170,724,214"
7 Below, (2012),"$85,226","$85,226"
Hellbender, (2021),"$67,474","$67,474"
Hello Goodbye, (2008),"$476,804","$476,804"
Helvetica, (2007),"$21,680","$21,680"
Crossing Hennessy, (2010),"$440,650","$440,650"
Onun Filmi, (2017),$126,$126
"The Cook, the Thief, His Wife & Her Lover", (1989),"$7,724,701","$799,293"
The Help, (2011),"$169,708,112","$52,094,074"
My Hero Academia, (2016),"$28,557","$28,557"
Hidden Agenda, (1990),"$1,030,938","$201,272"
Thomas & Friends: Hero of the Rails, (2009),"$137,630","$137,630"
Hero, (2002),"$53,710,019","$123,685,538"
Hey Hey It's Esther Blueburger, (2008),"$780,730","$780,730"
Here Comes the Boom, (2012),"$45,290,318","$27,809,854"
High Heels and Low Lifes, (2001),"$228,194","$2,112,217"
"Monsters, Inc.", (2001),"$290,642,256","$289,112,013"
Gorgeous, (1999),"$451,518","$451,518"
Highlander, (1986),"$5,900,000",$712
Highlander: The Source, (2007),"$213,205","$213,205"
El-Eyal Hirbet, (2006),"$360,316","$360,316"
Himalaya, (1999),"$2,619,885","$18,449,421"
His Excellency the Minister, (2002),"$734,764","$734,764"
Everybody Has Secrets, (2004),"$4,931,175","$4,931,175"
While the City Sleeps, (1956),"$7,652","$7,652"
Max, (2002),"$539,879","$120,884"
The Last Days, (2013),"$4,343,816","$4,343,816"
Visul, (2023),"$147,723","$147,723"
Prázdniny s Brouckem, (2024),"$668,463","$668,463"
Safer at Home, (2021),"$95,643","$4,680"
Close to Home, (2005),"$20,931","$46,179"
Honest Thief, (2020),"$14,163,574","$17,056,673"
Home from Home, (2009),"$21,946","$21,946"
Home Sweet Home, (2019),"$1,786,484","$1,786,484"
The Honeymooners, (2005),"$12,843,849","$339,577"
Horrid Henry: The Movie, (2011),"$11,045,966","$11,045,966"
1920: Horrors of the Heart, (2023),$39,$39
House of Gucci, (2021),"$53,809,574","$99,459,587"
The Shining, (1980),"$45,634,352","$2,322,392"
How About You, (2007),"$78,234","$724,087"
Army of Shadows, (1969),"$858,883","$69,147"
Enemy of the State, (1998),"$111,549,836","$139,299,953"
How to Kill Your Neighbor's Dog, (2000),"$49,894","$23,616"
How to Stop Being a Loser, (2011),"$4,556","$4,556"
Howards End, (1992),"$26,126,837","$218,519"
How to Lose Friends & Alienate People, (2008),"$2,778,752","$16,373,257"
How to Be, (2008),"$30,945","$30,945"
Mobile Suit Gundam: The Origin IV - Eve of Destiny, (2016),"$586,061","$586,061"
Huzurum Kalmadi, (2023),"$1,632","$1,632"
The Human Resources Manager, (2010),"$64,014","$545,132"
The Hunger, (1983),"$5,979,292","$9,030"
Hunky Dory, (2011),"$20,296","$119,357"
Hush, (1998),"$13,583,690","$21,614"
Pussy Riot - A Punk Prayer, (2013),"$4,148","$4,148"
Hyde Park on Hudson, (2012),"$6,376,145","$4,604,336"
Stonehearst Asylum, (2014),"$2,478,806","$2,478,806"
I Am Because We Are, (2008),"$39,648","$39,648"
I Am a Soldier, (2015),"$110,052","$110,052"
I Believe in Miracles, (2015),"$239,770","$239,770"
Miracles from Heaven, (2016),"$61,705,123","$12,367,221"
I Could Never Go Vegan, (2024),"$8,951","$8,951"
I Can't Think Straight, (2008),"$39,576","$1,369"
Kuldip Patwal: I Didn't Do It!, (2017),"$6,690","$6,690"
I Know Where I'm Going!, (1945),"$88,585","$88,585"
Louise hires a contract killer, (2008),"$5,016,430","$5,016,430"
I for India, (2005),"$45,411","$45,411"
I Capture the Castle, (2003),"$1,179,035","$5,407,306"
I Melt with You, (2011),"$6,361","$9,871"
The Skin I Live In, (2011),"$3,185,812","$30,530,577"
Creature from the Black Lagoon, (1954),$741,$741
I Really Hate My Job, (2007),"$26,763","$26,763"
I Met a Girl, (2020),"$7,727","$7,727"
I Can Only Imagine, (2018),"$83,482,352","$2,604,529"
I See You, (2019),"$1,194,369","$1,194,369"
You Will Meet a Tall Dark Stranger, (2010),"$3,248,246","$32,767,014"
I Want Candy, (2007),"$2,415,513","$2,415,513"
Wish I Was Here, (2014),"$3,591,299","$2,079,477"
Thank You, (2011),"$463,540","$4,988,807"
Star Wars: Episode I - The Phantom Menace, (1999),"$487,576,624","$558,938,030"
